,Unnamed: 0_x,doi,fk_idx,cole_idx,date,Unnamed: 0_y,subject,"doi,subject",period,Discipline
9895,0,s41598-020-80288-z,17.0,29.8,2020-12-31 00:00:00+00:00,0,Cancer genetics,,Before,Biological sciences
9896,0,s41598-020-80288-z,17.0,29.8,2020-12-31 00:00:00+00:00,1,Cancer metabolism,,Before,Biological sciences
9897,0,s41598-020-80288-z,17.0,29.8,2020-12-31 00:00:00+00:00,2,Colorectal cancer,,Before,Biological sciences
9898,1,s41598-020-78074-y,19.6,26.1,2020-12-01 00:00:00+00:00,3,Cancer,,Before,Biological sciences
9900,2,s41598-020-77968-1,17.5,26.09,2020-12-02 00:00:00+00:00,5,Biochemistry,,Before,Biological sciences
9901,2,s41598-020-77968-1,17.5,26.09,2020-12-02 00:00:00+00:00,6,Immunology,,Before,Biological sciences
9902,2,s41598-020-77968-1,17.5,26.09,2020-12-02 00:00:00+00:00,7,Medical research,,Before,Health sciences
9903,3,s41598-020-77824-2,18.6,30.61,2020-12-01 00:00:00+00:00,8,Computational biology and bioinformatics,,Before,Biological sciences
9904,3,s41598-020-77824-2,18.6,30.61,2020-12-01 00:00:00+00:00,9,Engineering,,Before,Physical sciences
9905,3,s41598-020-77824-2,18.6,30.61,2020-12-01 00:00:00+00:00,10,Genetics,,Before,Biological sciences
9907,4,s41598-020-77671-1,17.5,28.99,2020-12-01 00:00:00+00:00,12,Signs and symptoms,,Before,Health sciences
9909,5,s41598-020-77683-x,16.4,28.23,2020-12-01 00:00:00+00:00,14,Behavioural ecology,,Before,Biological sciences
9915,7,s41598-020-77893-3,19.7,26.39,2020-12-01 00:00:00+00:00,20,Medical research,,Before,Health sciences
9918,7,s41598-020-77893-3,19.7,26.39,2020-12-01 00:00:00+00:00,23,Respiratory tract diseases,,Before,Health sciences
9920,8,s41598-020-77810-8,17.8,27.14,2020-12-02 00:00:00+00:00,25,Electrical and electronic engineering,,Before,Physical sciences
9921,8,s41598-020-77810-8,17.8,27.14,2020-12-02 00:00:00+00:00,26,Engineering,,Before,Physical sciences
9923,9,s41598-020-78002-0,15.5,26.32,2020-12-01 00:00:00+00:00,28,Medical research,,Before,Health sciences
9927,11,s41598-020-78082-y,17.2,29.79,2020-12-01 00:00:00+00:00,32,Developmental biology,,Before,Biological sciences
9928,11,s41598-020-78082-y,17.2,29.79,2020-12-01 00:00:00+00:00,33,Evolution,,Before,Biological sciences
9929,11,s41598-020-78082-y,17.2,29.79,2020-12-01 00:00:00+00:00,34,Genetics,,Before,Biological sciences
9930,11,s41598-020-78082-y,17.2,29.79,2020-12-01 00:00:00+00:00,35,Molecular biology,,Before,Biological sciences
9931,11,s41598-020-78082-y,17.2,29.79,2020-12-01 00:00:00+00:00,36,Systems biology,,Before,Biological sciences
9935,13,s41598-020-77493-1,18.7,27.44,2020-12-02 00:00:00+00:00,40,Urology,,Before,Health sciences
9937,14,s41598-020-78045-3,17.1,22.04,2020-12-01 00:00:00+00:00,42,Physiology,,Before,Biological sciences
9939,15,s41598-020-77844-y,17.8,29.64,2020-12-01 00:00:00+00:00,44,Medical research,,Before,Health sciences
9940,16,s41598-020-77995-y,16.3,24.47,2020-12-01 00:00:00+00:00,45,Ecosystem ecology,,Before,Biological sciences
9941,16,s41598-020-77995-y,16.3,24.47,2020-12-01 00:00:00+00:00,46,Evolutionary ecology,,Before,Biological sciences
9942,16,s41598-020-77995-y,16.3,24.47,2020-12-01 00:00:00+00:00,47,Tropical ecology,,Before,Biological sciences
9943,17,s41598-020-77700-z,18.8,29.47,2020-12-01 00:00:00+00:00,48,Drug discovery,,Before,Biological sciences
9944,17,s41598-020-77700-z,18.8,29.47,2020-12-01 00:00:00+00:00,49,Infectious diseases,,Before,Health sciences
9945,17,s41598-020-77700-z,18.8,29.47,2020-12-01 00:00:00+00:00,50,Medicinal chemistry,,Before,Physical sciences
9951,20,s41598-020-77750-3,16.1,23.77,2020-12-01 00:00:00+00:00,56,Computational biology and bioinformatics,,Before,Biological sciences
9952,20,s41598-020-77750-3,16.1,23.77,2020-12-01 00:00:00+00:00,57,Drug discovery,,Before,Biological sciences
9960,23,s41598-020-78043-5,16.7,26.67,2020-12-01 00:00:00+00:00,65,Biophysics,,Before,Biological sciences
9961,23,s41598-020-78043-5,16.7,26.67,2020-12-01 00:00:00+00:00,66,Biotechnology,,Before,Biological sciences
9964,24,s41598-020-77343-0,15.3,26.14,2020-12-01 00:00:00+00:00,69,Microbiology,,Before,Biological sciences
9965,25,s41598-020-78050-6,18.7,28.36,2020-12-01 00:00:00+00:00,70,Diseases,,Before,Health sciences
9966,25,s41598-020-78050-6,18.7,28.36,2020-12-01 00:00:00+00:00,71,Health care,,Before,Health sciences
9967,25,s41598-020-78050-6,18.7,28.36,2020-12-01 00:00:00+00:00,72,Medical research,,Before,Health sciences
9968,25,s41598-020-78050-6,18.7,28.36,2020-12-01 00:00:00+00:00,73,Psychology,,Before,Biological sciences
9971,27,s41598-020-80123-5,16.9,29.63,2020-12-30 00:00:00+00:00,76,Behavioural ecology,,Before,Biological sciences
9972,27,s41598-020-80123-5,16.9,29.63,2020-12-30 00:00:00+00:00,77,Ecology,,Before,Biological sciences
9975,27,s41598-020-80123-5,16.9,29.63,2020-12-30 00:00:00+00:00,80,Microbiology,,Before,Biological sciences
9976,27,s41598-020-80123-5,16.9,29.63,2020-12-30 00:00:00+00:00,81,Plant physiology,,Before,Biological sciences
9977,27,s41598-020-80123-5,16.9,29.63,2020-12-30 00:00:00+00:00,82,Plant sciences,,Before,Biological sciences
9978,27,s41598-020-80123-5,16.9,29.63,2020-12-30 00:00:00+00:00,83,Zoology,,Before,Biological sciences
9979,28,s41598-020-79755-4,16.7,27.01,2020-12-29 00:00:00+00:00,84,Chemical biology,,Before,Biological sciences
9980,28,s41598-020-79755-4,16.7,27.01,2020-12-29 00:00:00+00:00,85,Ecology,,Before,Biological sciences
9981,28,s41598-020-79755-4,16.7,27.01,2020-12-29 00:00:00+00:00,86,Limnology,,Before,Earth and environmental sciences
9982,29,s41598-020-79859-x,17.3,29.73,2020-12-29 00:00:00+00:00,87,Biomarkers,,Before,Health sciences
9983,29,s41598-020-79859-x,17.3,29.73,2020-12-29 00:00:00+00:00,88,Endocrinology,,Before,Health sciences
9984,29,s41598-020-79859-x,17.3,29.73,2020-12-29 00:00:00+00:00,89,Health occupations,,Before,Health sciences
9985,29,s41598-020-79859-x,17.3,29.73,2020-12-29 00:00:00+00:00,90,Neuroendocrinology,,Before,Health sciences
9986,29,s41598-020-79859-x,17.3,29.73,2020-12-29 00:00:00+00:00,91,Psychology,,Before,Biological sciences
9988,30,s41598-020-79878-8,14.9,27.65,2020-12-29 00:00:00+00:00,93,Microbiology,,Before,Biological sciences
